Experiment,Genotype,Environment,Repno,Yield
Experiment 1,G4,E15,2,58.19892879
Experiment 1,G20,E15,2,49.43057552
Experiment 1,G5,E15,1,57.78286619
Experiment 1,G12,E15,1,45.95088645
Experiment 1,G18,E15,2,51.32986117
Experiment 1,G13,E15,2,60.3989651
Experiment 1,G19,E15,2,45.10587397
Experiment 1,G14,E15,2,33.44373943
Experiment 1,G11,E15,1,54.71938842
Experiment 1,G17,E15,2,49.68489215
Experiment 1,G16,E15,2,47.89645744
Experiment 1,G3,E15,2,49.59009099
Experiment 1,G10,E15,2,54.02564347
Experiment 1,G15,E15,1,42.74409169
Experiment 1,G18,E15,1,46.24684907
Experiment 1,G15,E15,2,48.44911589
Experiment 1,G8,E15,2,58.92384129
Experiment 1,G18,E16,1,35.34223197
Experiment 1,G15,E16,1,31.81657479
Experiment 1,G6,E16,1,46.05553162
Experiment 1,G19,E16,2,45.23152547
Experiment 1,G17,E16,1,40.42192305
Experiment 1,G17,E16,2,43.92722815
Experiment 1,G2,E16,1,41.58227877
Experiment 1,G10,E16,2,37.45719207
Experiment 1,G16,E16,2,47.83697744
Experiment 1,G7,E16,2,33.82752415
Experiment 1,G18,E16,2,37.11428987
Experiment 1,G20,E16,1,51.54791482
Experiment 1,G10,E16,1,40.92145597
Experiment 1,G16,E16,1,43.30504754
Experiment 1,G14,E16,2,29.33248183
Experiment 1,G12,E16,1,40.60720325
Experiment 1,G3,E16,1,40.07790069
Experiment 1,G2,E16,2,46.65607147
Experiment 1,G4,E16,1,49.69745239
Experiment 1,G3,E16,2,41.19151499
Experiment 1,G5,E16,2,44.37889949
Experiment 1,G5,E16,1,44.20060819
Experiment 1,G4,E16,2,44.05889709
Experiment 1,G8,E16,2,43.17621389
Experiment 1,G9,E16,1,40.67701299
Experiment 1,G7,E16,1,41.85107875
Experiment 1,G11,E16,2,46.47858312
Experiment 1,G8,E16,1,37.24947799
Experiment 1,G15,E16,2,44.85920049
Experiment 1,G6,E16,2,45.41076842
Experiment 1,G13,E16,1,48.2686139
Experiment 1,G1,E16,2,39.24562679
Experiment 1,G12,E16,2,37.46546965
Experiment 1,G11,E16,1,40.29563712
Experiment 1,G13,E16,2,49.2976179
Experiment 1,G19,E16,1,50.03111537
Experiment 1,G9,E16,2,40.69530309
Experiment 1,G14,E16,1,30.35241513
Experiment 1,G20,E16,2,51.79029582
Experiment 1,G1,E16,1,46.87363939
Experiment 1,G5,E17,1,53.42684839
Experiment 1,G12,E17,1,55.80374845
Experiment 1,G13,E17,1,63.8218904
Experiment 1,G7,E17,2,56.63379185
Experiment 1,G18,E17,2,62.53172957
Experiment 1,G9,E17,2,66.80791529
Experiment 1,G19,E17,1,54.33672387
Experiment 1,G20,E17,2,54.77187952
Experiment 1,G9,E17,1,59.96191599
Experiment 1,G6,E17,1,55.03032012
Experiment 1,G12,E17,2,55.18173635
Experiment 1,G8,E17,1,62.65769829
Experiment 1,G8,E17,2,54.35979219
Experiment 1,G10,E17,1,53.19574877
Experiment 1,G3,E17,2,52.70208459
Experiment 1,G11,E17,2,56.27419562
Experiment 1,G2,E17,2,54.95858727
Experiment 1,G19,E17,2,63.15374167
Experiment 1,G17,E17,2,52.79450655
Experiment 1,G6,E17,2,54.09737632
Experiment 1,G17,E17,1,48.33573705
Experiment 1,G14,E17,1,52.00848833
Experiment 1,G1,E17,2,54.25689179
Experiment 1,G16,E17,2,68.43445534
Experiment 1,G11,E17,1,58.14231372
Experiment 1,G1,E17,1,53.73792879
Experiment 1,G2,E17,1,45.52193657
Experiment 1,G18,E17,1,57.86254957
Experiment 1,G16,E17,1,60.86131304
Experiment 1,G15,E17,1,55.91697859
Experiment 1,G15,E17,2,55.18983559
Experiment 1,G4,E17,1,55.50076729
Experiment 1,G14,E17,2,53.25236383
